# JMH version: 1.36
# VM version: JDK 17.0.7, OpenJDK 64-Bit Server VM, 17.0.7+7
# VM invoker: /home/r_schwietzke/.sdkman/candidates/java/17.0.7-tem/bin/java
# VM options: -Xms2g -Xmx2g -XX:+UseSerialGC -XX:+AlwaysPreTouch -XX:+UseSerialGC
# Blackhole mode: compiler (auto-detected, use -Djmh.blackhole.autoDetect=false to disable)
# Warmup: 3 iterations, 2 s each
# Measurement: 10 iterations, 2 s each
# Timeout: 10 min per iteration
# Threads: 1 thread, will synchronize iterations
# Benchmark mode: Average time, time/op
# Benchmark: org.xceptance.B06b_QuotedWarmupAndUnquotedTest.parse

# Run progress: 0.00% complete, ETA 00:06:30
# Fork: 1 of 15
# Warmup Iteration   1: 676.655 ns/op
# Warmup Iteration   2: 717.067 ns/op
# Warmup Iteration   3: 709.536 ns/op
Iteration   1: 1004.059 ns/op
Iteration   2: 1003.092 ns/op
Iteration   3: 1001.875 ns/op
Iteration   4: 1001.421 ns/op
Iteration   5: 1000.465 ns/op
Iteration   6: 1000.704 ns/op
Iteration   7: 1006.352 ns/op
Iteration   8: 999.966 ns/op
Iteration   9: 999.657 ns/op
Iteration  10: 1000.144 ns/op

# Run progress: 6.67% complete, ETA 00:06:20
# Fork: 2 of 15
# Warmup Iteration   1: 680.646 ns/op
# Warmup Iteration   2: 677.395 ns/op
# Warmup Iteration   3: 670.860 ns/op
Iteration   1: 1071.145 ns/op
Iteration   2: 1070.235 ns/op
Iteration   3: 1068.818 ns/op
Iteration   4: 1068.299 ns/op
Iteration   5: 1070.247 ns/op
Iteration   6: 1068.106 ns/op
Iteration   7: 1068.930 ns/op
Iteration   8: 1068.248 ns/op
Iteration   9: 1067.400 ns/op
Iteration  10: 1068.310 ns/op

# Run progress: 13.33% complete, ETA 00:05:53
# Fork: 3 of 15
# Warmup Iteration   1: 686.646 ns/op
# Warmup Iteration   2: 715.839 ns/op
# Warmup Iteration   3: 707.962 ns/op
Iteration   1: 1004.361 ns/op
Iteration   2: 1002.522 ns/op
Iteration   3: 1000.865 ns/op
Iteration   4: 1000.935 ns/op
Iteration   5: 1008.903 ns/op
Iteration   6: 1001.248 ns/op
Iteration   7: 1001.265 ns/op
Iteration   8: 999.919 ns/op
Iteration   9: 999.308 ns/op
Iteration  10: 999.807 ns/op

# Run progress: 20.00% complete, ETA 00:05:26
# Fork: 4 of 15
# Warmup Iteration   1: 680.473 ns/op
# Warmup Iteration   2: 715.465 ns/op
# Warmup Iteration   3: 707.656 ns/op
Iteration   1: 1004.823 ns/op
Iteration   2: 1001.995 ns/op
Iteration   3: 1000.989 ns/op
Iteration   4: 999.706 ns/op
Iteration   5: 1000.068 ns/op
Iteration   6: 1001.395 ns/op
Iteration   7: 1000.453 ns/op
Iteration   8: 1001.717 ns/op
Iteration   9: 1000.412 ns/op
Iteration  10: 1000.246 ns/op

# Run progress: 26.67% complete, ETA 00:04:59
# Fork: 5 of 15
# Warmup Iteration   1: 677.743 ns/op
# Warmup Iteration   2: 677.943 ns/op
# Warmup Iteration   3: 670.710 ns/op
Iteration   1: 1069.916 ns/op
Iteration   2: 1071.179 ns/op
Iteration   3: 1069.353 ns/op
Iteration   4: 1068.533 ns/op
Iteration   5: 1069.363 ns/op
Iteration   6: 1072.679 ns/op
Iteration   7: 1068.734 ns/op
Iteration   8: 1070.396 ns/op
Iteration   9: 1068.960 ns/op
Iteration  10: 1068.218 ns/op

# Run progress: 33.33% complete, ETA 00:04:31
# Fork: 6 of 15
# Warmup Iteration   1: 677.324 ns/op
# Warmup Iteration   2: 678.839 ns/op
# Warmup Iteration   3: 671.118 ns/op
Iteration   1: 1073.296 ns/op
Iteration   2: 1070.203 ns/op
Iteration   3: 1070.355 ns/op
Iteration   4: 1068.431 ns/op
Iteration   5: 1067.759 ns/op
Iteration   6: 1068.256 ns/op
Iteration   7: 1069.083 ns/op
Iteration   8: 1069.325 ns/op
Iteration   9: 1068.554 ns/op
Iteration  10: 1068.361 ns/op

# Run progress: 40.00% complete, ETA 00:04:04
# Fork: 7 of 15
# Warmup Iteration   1: 623.597 ns/op
# Warmup Iteration   2: 714.708 ns/op
# Warmup Iteration   3: 707.871 ns/op
Iteration   1: 1002.635 ns/op
Iteration   2: 1001.878 ns/op
Iteration   3: 1001.018 ns/op
Iteration   4: 1000.323 ns/op
Iteration   5: 1000.613 ns/op
Iteration   6: 1000.497 ns/op
Iteration   7: 1015.572 ns/op
Iteration   8: 999.853 ns/op
Iteration   9: 999.108 ns/op
Iteration  10: 999.838 ns/op

# Run progress: 46.67% complete, ETA 00:03:37
# Fork: 8 of 15
# Warmup Iteration   1: 680.624 ns/op
# Warmup Iteration   2: 678.179 ns/op
# Warmup Iteration   3: 670.244 ns/op
Iteration   1: 1070.980 ns/op
Iteration   2: 1069.254 ns/op
Iteration   3: 1069.481 ns/op
Iteration   4: 1070.024 ns/op
Iteration   5: 1068.006 ns/op
Iteration   6: 1069.947 ns/op
Iteration   7: 1070.091 ns/op
Iteration   8: 1067.933 ns/op
Iteration   9: 1068.169 ns/op
Iteration  10: 1068.110 ns/op

# Run progress: 53.33% complete, ETA 00:03:10
# Fork: 9 of 15
# Warmup Iteration   1: 679.477 ns/op
# Warmup Iteration   2: 714.960 ns/op
# Warmup Iteration   3: 707.683 ns/op
Iteration   1: 1004.461 ns/op
Iteration   2: 1001.764 ns/op
Iteration   3: 1000.861 ns/op
Iteration   4: 999.964 ns/op
Iteration   5: 1000.498 ns/op
Iteration   6: 1000.181 ns/op
Iteration   7: 1000.310 ns/op
Iteration   8: 1000.301 ns/op
Iteration   9: 999.355 ns/op
Iteration  10: 999.538 ns/op

# Run progress: 60.00% complete, ETA 00:02:43
# Fork: 10 of 15
# Warmup Iteration   1: 680.105 ns/op
# Warmup Iteration   2: 715.123 ns/op
# Warmup Iteration   3: 707.908 ns/op
Iteration   1: 1003.016 ns/op
Iteration   2: 1001.244 ns/op
Iteration   3: 1000.733 ns/op
Iteration   4: 1001.540 ns/op
Iteration   5: 1000.317 ns/op
Iteration   6: 999.840 ns/op
Iteration   7: 1000.947 ns/op
Iteration   8: 999.754 ns/op
Iteration   9: 999.968 ns/op
Iteration  10: 1000.217 ns/op

# Run progress: 66.67% complete, ETA 00:02:15
# Fork: 11 of 15
# Warmup Iteration   1: 677.398 ns/op
# Warmup Iteration   2: 715.767 ns/op
# Warmup Iteration   3: 707.589 ns/op
Iteration   1: 1003.023 ns/op
Iteration   2: 1000.862 ns/op
Iteration   3: 1001.655 ns/op
Iteration   4: 1000.358 ns/op
